name,artist,year
nothin my love cant fix,joey lawrence,1993
three little pigs,"green jell""y",1993
i swear,all4one,1994
all for love,bryan adams rod stewart and sting,1994
whatta man,saltnpepa and en vogue,1994
without you  never forget you,mariah carey,1994
so much in love,all4one,1994
shoop,saltnpepa,1994
said i loved youbut i lied,michael bolton,1994
because the night,10000 maniacs,1994
endless love,luther vandross and mariah carey,1994
december 1963 oh what a night,the four seasons,1994
runaround,blues traveler,1995
i can love you like that,all4one,1995
hes mine,mokenstef,1995
ill be there for youyoure all i need to get by,method man ,1995
sukiyaki,4:00 PM,1995
i wish,skeelo,1995
ask of you,raphael saadiq,1995
1st of tha month,bone thugsnharmony,1995
i miss you,n ii u,1995
macarena bayside boys mix,los del r'io,1996
one sweet day,mariah carey and boyz ii men,1996
tha crossroads,bone thugsnharmony,1996
youre makin me high  let it flow,toni braxton,1996
follow you down  til i hear it from you,gin blossoms,1996
how do u want it  california love,2pac ,1996
you learn  you oughta know,alanis morissette,1996
before you walk out of my life  like this and like that,monica,1996
why i love you so much  aint nobody,monica,1996
theme from mission impossible,adam clayton and larry mullen,1996
if your girl only knew,aaliyah,1996
unbreak my heart,toni braxton,1996
macarena,los del r'io,1996
foolish games  you were meant for me,jewel,1997
unbreak my heart,toni braxton,1997
semicharmed life,third eye blind,1997
hard to say im sorry,az yet ,1997
look into my eyes,bone thugsnharmony,1997
i finally found someone,barbra streisand and bryan adams,1997
up jumps da boogie,timbaland  magoo ,1997
i dont want to  i love me some him,toni braxton,1997
my baby daddy,brock and the bizz,1997
the jock jam,various artists,1997
macarena bayside boys mix,los del r'io,1997
someone,swv and puff daddy,1997
when youre gone  free to decide,the cranberries,1997
youre makin me high  let it flow,toni braxton,1997
the boy is mine,brandy and monica,1998
body bumpin yippieyiyo,public announcement,1998
come with me,puff daddy ,1998
romeo and juliet,sylke fyne ,1998
its all about me,m'ya and sisqo,1998
swing my way,k p  envyi,1998
semicharmed life,third eye blind,1998
turn it up remixfire it up,busta rhymes,1998
foolish games  you were meant for me,jewel,1998
im your angel,r kelly and celine dion,1999
save tonight,eagleeye cherry,1999
can i get a,jayz ,1999
tell me its real,kci  jojo,1999
exfactor,lauryn hill,1999
hard knock life ghetto anthem,jayz,1999
a lesson in leavin,jo dee messina,1999
music of my heart,n sync and gloria estefan,1999
when you believe,whitney houston and mariah carey,1999
god must have spent a little more time on you,alabama and n sync,1999
it feels so good,sonique,2000
case of the ex,m'ya,2000
247,kevon edmonds,2000
drops of jupiter tell me,train,2001
lady marmalade,christina aguilera lil kim m'ya and pink,2001
he loves u not,dream,2001
crazy,kci  jojo,2001
case of the ex,m'ya,2001
all or nothing,otown,2001
superwoman pt ii,lil mo ,2001
nobody wants to be lonely,ricky martin and christina aguilera,2001
i just wanna love u give it 2 me,jayz,2001
loverboy,mariah carey ,2001
get over yourself,edens crush,2001
oh boy,camron ,2002
addictive,truth hurts ,2002
down 4 u,ja rule ,2002
hey ma,camron ,2002
if i could go,angie martinez ,2002
i know what you want,busta rhymes and mariah carey ,2003
bump bump bump,b2k and p diddy,2003
03 bonnie  clyde,jayz ,2003
my love is likewo,m'ya,2003
its five oclock somewhere,alan jackson ,2003
love of my life an ode to hiphop,erykah badu ,2003
come over,aaliyah,2003
i want you,thal'ia ,2003
freekaleek,petey pablo,2004
my boo,usher and alicia keys,2004
wanna get to know you,gunit ,2004
change clothes,jayz,2004
obsession no es amor,frankie j ,2005
my boo,usher and alicia keys,2005
numbencore,jayz and linkin park,2005
im sprung,tpain,2005
move along,the allamerican rejects,2006
im n luv wit a stripper,tpain ,2006
dirty little secret,the allamerican rejects,2006
dej`a vu,beyonce ,2006
im sprung,tpain,2006
buy u a drank shawty snappin,tpain ,2007
bartender,tpain ,2007
it ends tonight,the allamerican rejects,2007
i tried,bone thugsnharmony ,2007
big shit poppin do it,ti,2007
cant believe it,tpain ,2008
one step at a time,jordin sparks,2008
i luv your girl,thedream,2008
gives you hell,the allamerican rejects,2009
dont trust me,3oh3,2009
run this town,jayz ,2009
crack a bottle,eminem dr dre and 50 cent,2009
empire state of mind,jayz and alicia keys,2009
every girl,young money,2009
rockin that thang,thedream,2009
people are crazy,billy currington,2009
tik tok,keha,2010
in my head,"jason der""ulo",2010
empire state of mind,jayz and alicia keys,2010
your love is my drug,keha,2010
ridin solo,"jason der""ulo",2010
whatcha say,"jason der""ulo",2010
live like were dying,allen kriskris allen,2010
young forever,jayz ,2010
blah blah blah,keha ,2010
take it off,keha,2010
my first kiss,3oh3 ,2010
unthinkable im ready,alicia keys,2010
today was a fairytale,taylor swift,2010
eenie meenie,sean kingston and justin bieber,2010
sm,rihanna,2011
we r who we r,keha,2011
blow,keha,2011
"yo""u and i",lady gaga,2011
remind me,brad paisley and carrie underwood,2011
mercy,kanye west big sean pusha t and 2 chainz,2012
good time,owl city and carly rae jepsen,2012
niggas in paris,jayz and kanye west,2012
die young,keha,2012
5 oclock,tpain ,2012
cashin out,cah out,2012
cups pitch perfects when im gone,anna kendrick,2013
holy grail,jay z ,2013
fuckin problems,asap rocky ,2013
summertime sadness,lana del rey and cedric gervais,2013
say something,a great big world and christina aguilera,2014
23,mike will madeit ,2014
somethin bad,miranda lambert and carrie underwood,2014
time of our lives,pitbull and neyo,2015
fourfiveseconds,rihanna kanye west and paul mccartney,2015
nasty freestyle,twayne,2015
love me harder,ariana grande and the weeknd,2015
you know you like it,dj snake and alunageorge,2015
ayo,chris brown and tyga,2015
el perdon,nicky jam and enrique iglesias,2015
